Characteristic,Total,Male,Female,Unknown
Total,"705,827","316,225","389,507",95
Age:,,,,
Under 16 years,"129,497","62,635","66,839",23
16-20 years,"68,390","33,693","34,690",7
21 years and over,"507,904","219,882","287,958",64
Under 1 year,"11,994","4,431","7,560",3
1-4 years,"24,658","11,040","13,615",3
5-9 years,"36,282","18,326","17,952",4
10-14 years,"45,536","23,227","22,298",11
15-19 years,"61,632","31,019","30,605",8
20-24 years,"65,121","26,898","38,216",7
25-29 years,"91,709","39,204","52,497",8
30-34 years,"96,190","45,043","51,135",12
35-39 years,"70,235","32,192","38,030",13
40-44 years,"51,572","22,538","29,026",8
45-49 years,"39,621","17,171","22,443",7
50-54 years,"30,074","12,589","17,482",3
55-59 years,"23,427","9,266","14,158",3
60-64 years,"20,564","8,114","12,449",1
65-74 years,"28,207","11,521","16,683",3
75 years and over,"8,969","3,631","5,338",-
Unknown,36,15,20,1
Marital status:,,,,
Single,"275,047","138,741","136,272",34
Married,"401,134","171,381","229,731",22
Widowed,"17,436","2,125","15,311",-
Divorced/Separated,"10,882","3,357","7,523",2
Unknown,"1,328",621,670,37
Occupation:,,,,
Executive and managerial,"22,295","15,234","7,061",-
Professional and technical,"46,495","27,760","18,725",10
Sales,"12,594","6,755","5,836",3
Administrative support,"9,870","3,459","6,409",2
"Farming, forestry, and fisheries","8,685","6,394","2,290",1
"Operators, fabricators, and laborers","24,595","17,854","6,734",7
"Precision production, craft, and repair","7,698","5,526","2,170",2
Service,"29,117","16,207","12,909",1
Military,56,37,19,-
No occupation/not working outside home,"310,197","115,420","194,740",37
Homemakers,"79,667",888,"78,777",2
Students or children,"188,082","91,437","96,613",32
Retirees,"2,603","1,331","1,272",-
Unemployed,"39,845","21,764","18,078",3
Unknown,"234,225","101,579","132,614",32
