Characteristic,Total,Male,Female,Unknown
Total,"1,063,732","485,596","577,868",268
Age:,,,,
Under 16 years,"186,328","92,142","94,139",47
16-20 years,"102,479","50,799","51,657",23
21 years and over,"774,716","342,558","431,960",198
Under 1 year,"11,673","4,532","7,141",-
1-4 years,"31,791","14,608","17,178",5
5-9 years,"54,493","27,800","26,678",15
10-14 years,"70,860","36,244","34,595",21
15-19 years,"92,566","46,682","45,857",27
20-24 years,"93,132","39,989","53,123",20
25-29 years,"152,476","67,600","84,843",33
30-34 years,"160,962","75,973","84,936",53
35-39 years,"112,247","51,824","60,397",26
40-44 years,"75,743","33,410","42,308",25
45-49 years,"54,811","23,962","30,837",12
50-54 years,"40,319","17,081","23,230",8
55-59 years,"31,694","12,660","19,026",8
60-64 years,"29,201","11,483","17,711",7
65-74 years,"39,014","16,472","22,534",8
75 years and over,"12,541","5,179","7,362",-
Unknown,209,97,112,-
Marital status:,,,,
Single,"375,451","192,378","182,975",98
Married,"644,892","283,044","361,749",99
Widowed,"23,751","3,092","20,653",6
Divorced/Separated,"16,091","5,317","10,770",4
Unknown,"3,547","1,765","1,721",61
Occupation:,,,,
Executive and managerial,"29,277","20,680","8,591",6
Professional and technical,"79,370","50,830","28,498",42
Sales,"14,869","7,569","7,294",6
Administrative support,"12,838","4,523","8,314",1
"Farming, forestry, and fisheries","9,028","6,357","2,671",-
"Operators, fabricators, and laborers","35,638","25,531","10,102",5
"Precision production, craft, and repair","13,206","9,901","3,302",3
Service,"33,948","18,158","15,786",4
No occupation/not working outside home,"414,593","154,105","260,419",69
Homemakers,"113,725","1,843","111,879",3
Students or children,"254,821","125,621","129,138",62
Retirees,"3,585","1,863","1,722",-
Unemployed,"42,462","24,778","17,680",4
Unknown,"420,965","187,942","232,891",132
