Characteristic,Total,Male,Female,Unknown
Total,"946,142","430,662","515,314",166
Age,,,,
Under 16 years,"151,400","76,021","75,343",36
16-20 years,"85,216","42,199","43,002",15
21 years and over,"709,486","312,427","396,944",115
Under 1 year,"7,807","3,326","4,481",-
1-4 years,"22,932","11,002","11,925",5
5-9 years,"48,181","24,370","23,794",17
10-14 years,"58,821","30,269","28,538",14
15-19 years,"78,069","39,421","38,635",13
20-24 years,"86,278","36,751","49,500",27
25-29 years,"124,406","52,608","71,781",17
30-34 years,"143,921","67,923","75,982",16
35-39 years,"107,251","50,329","56,901",21
40-44 years,"76,404","33,867","42,520",17
45-49 years,"55,223","24,009","31,208",6
50-54 years,"39,661","16,943","22,713",5
55-59 years,"30,037","12,190","17,844",3
60-64 years,"23,829","9,618","14,207",4
65-74 years,"32,346","13,511","18,835",-
75 years and over,"10,936","4,510","6,425",1
Unknown,40,15,25,-
Marital status,,,,
Single,"346,185","180,751","165,358",76
Married,"561,886","241,192","320,655",39
Widowed,"19,871","2,489","17,382",-
Divorced/Separated,"15,899","5,107","10,788",4
Unknown,"2,301",1123,1131,47
Occupation,,,,
Executive and managerial,"31,689","21,811","9,876",2
Professional and technical,"73,862","46,515","27,338",9
Sales,"16,872","9,185","7,686",1
Administrative support,"11,820","4,059","7,760",1
"Farming, forestry, and fisheries","11,590","9,024","2,565",1
"Operators, fabricators, and laborers","39,524","28,269","11,244",11
"Precision production, craft, and repair","11,705","8,941","2,757",7
Service,"38,566","21,365","17,190",11
Military,258,121,137,-
No occupation/not working outside home,"400,743","144,288","256,392",63
Homemakers,"108,912",2164,"106,742",6
Students or children,"229,774","114,198","115,523",53
Retirees,"4,443","2,093","2,350",-
Unemployed,"57,614","25,833","31,777",4
Unknown,"309,513","137,084","172,369",60
